,red,blue,devotion,arrival,departure,bird,quarrel,strength,ocean,needle,mischief,mockery,blossom,basement,narrowness,wideness,peaceful,staircase,fight,jungle,river,toxin,rushed,celebration,circle,cradle,hero,sigh
dissonant,0.233479488,0.233479488,0.299704732,0.361873757,0.441993605,0.088773696,0.547992777,0.425427365,0.108428438,0,0.242571233,0.198600529,0.108428438,0,0.233479488,0.233479488,0.425427365,0,0.547992777,0.088773696,0,0,0.242571233,0.296277174,0.306684391,0.088773696,0.198600529,0.233479488
consonant,0.285172491,0.285172491,0.296277174,0.361873757,0.441993605,0.348310467,0.366060187,0.519618157,0.108428438,0,0.285172491,0.205576695,0.108428438,0,0.285172491,0.285172491,0.814681928,0,0.299704732,0.088773696,0,0,0.242571233,0.296277174,0.306684391,0.088773696,0.198600529,0.425427365
fast,0.233479488,0.296277174,0.13780218,0.156505981,0.088773696,0.198600529,0.133125915,0.425427365,0.088773696,0.296277174,0.285172491,0.072681755,0.156505981,0.447106922,0.233479488,0.233479488,0.205576695,0.361873757,0.168311962,0.205576695,0.072681755,0.072681755,0.112822882,0.072681755,0.251091942,0.198600529,0.156505981,0.088773696
slow,0.233479488,0.233479488,0.13780218,0.168311962,0.205576695,0.072681755,0.112822882,0.425427365,0.088773696,0,0.168311962,0.104909097,0.088773696,0,0.285172491,0.233479488,0.205576695,0,0.168311962,0.072681755,0,0,0.168311962,0.168311962,0.251091942,0.072681755,0.156505981,0.168311962
low,0.285172491,0.285172491,0.168311962,0.246229027,0.108428438,0.20089809,0.201595277,0.539852208,0.108428438,0.367330544,0.205576695,0.088773696,0.108428438,0.198600529,0.285172491,0.285172491,0.251091942,0.242571233,0.205576695,0.13780218,0.059506788,0.059506788,0.165052253,0.088773696,0.449126931,0.20089809,0.301058785,0.108428438
high,0.285172491,0.296277174,0.191156837,0.13780218,0.108428438,0.20089809,0.201595277,0.539852208,0.108428438,0.367330544,0.205576695,0.088773696,0.112822882,0.198600529,0.285172491,0.285172491,0.296277174,0.242571233,0.205576695,0.425427365,0.088773696,0.088773696,0.156505981,0.088773696,0.546097627,0.441993605,0.13780218,0.108428438
